activity,Proposal activity
membrane binding,Molecular binding
cell aggregation regulator,Regulator
transporter,Drug delivery vehicle
diuretic,Homeostasis
chaperone,Other
apoptosis regulator,Regulator
receptor stimulating,Molecular binding
antinociceptive,Toxic
pheromone inhibitor,Inhibitor
anti protist,Anti protist
vasoconstrictor,Vascular
anti amnestic,Antiamnesic
dpp iv inhibitor,Enzyme inhibitor
enzyme synthesis activator,Activator
hypotriglyceridemic,Hormone
hormone secretion regulator,Regulator
mast cell degranulating,Immunological
defensive proteinase inhibitor,Enzyme inhibitor
embryotoxic,Toxic
enzyme substrate,Metabolic
antineurotensive,Neurological
defense activator,Activator
activating ubiquitin mediated proteolysis,Activator
neuroprotective,Neurological
trypsin inhibitor,Inhibitor
bacterial permease ligand,Molecular binding
bche inhibitor,Enzyme inhibitor
tyrosinase and melanin inhibitor,Enzyme inhibitor
protein inhibitor,Inhibitor
proteolytic,Other
wide spectrum,Antibacterial
vasorelaxant,Vascular
sex pheromone inhibitor,Inhibitor
ion transport inhibitor,Inhibitor
sex regulator,Regulator
calpain 2 inhibitor,Inhibitor
anxiolytic like activity,Therapeutic
peptide inhibitor,Inhibitor
anti chaperone,Other
phagocytosis stimulatory peptide,Other
ecdysiotropic,Other
metal binding,Molecular binding
enzyme degradation regulator,Regulator
anorexic,Therapeutic
synthesis stimulator,Other
receptor antagonist,Other
gene expression regulator,Regulator
proliferation regulator,Regulator
protein binding inhibitor,Inhibitor
antilisterial,Bacteriocin
salt precipitation inhibitor,Inhibitor
phylotaxis regulator,Regulator
sodium channel blocker,Therapeutic
protein synthesis inhibitor,Inhibitor
protein translation inhibitor,Inhibitor
plasma anti clotting,Therapeutic
cell transport regulator,Regulator
antihsv,Antiviral
antiallodynic,Therapeutic
photosynthesis inhibitor,Inhibitor
anti analgesic,Therapeutic
pore forming,Other
anti apoptotic,Other
ichthyotoxic,Toxic
bile acid binding inhibitor,Inhibitor
cell growth inhibitor,Inhibitor
camp generating,Other
protein kinase c inhibitor,Enzyme inhibitor
protein transport inhibitor,Inhibitor
proteolysis activator,Other
chromatin assembly or disassembly,Other
glp intervening,Other
paralytic,Other
gene expression stimulator,Other
reductant,Other
fibrinolytic,Therapeutic
resistance activity,Other
competence peptide,Other
ca2 level regulator,Regulator
neurotensin inhibitor,Inhibitor
induction factor,Other
edema inducer,Therapeutic
antihyperglycemic,Metabolic
sperm attracting,Other
smooth muscles contracting peptide,Other
enzyme,Other
sporulation regulator,Regulator
anti barnacle,Other
antireproductive,Other
transcription factor,Other
transport stimulating,Other
dna repair,Other
insulin binding protein,Molecular binding
cytoprotective,Other
vascular permeability enhancing,Vascular
serine protease inhibitor,Enzyme inhibitor
natriuretic,Therapeutic
salivation stimulator,Taste
ribosome inactivating,Regulator
neurotrophic factor,Therapeutic
neutrophil inhibitor,Inhibitor
memory regulator,Regulator
orphan receptor gpr14 agonist,Therapeutic
transit,Transit
propeptide,Propeptide
neurotoxin,Neurotoxin
stimulator,Other
dermonecrotic,Other
lectin,Other
antiarrhythmic,Other
protease activity,Other
presynaptic neurotoxin,Neurotoxin
hyaluronidase activity,Other
kinin like,Other
